Happened,Matters,Found,Link,timestamp,Publication Name,topics,sentiment,emotions
Dogs are expected to help people live longer because they encourage people to be active and lower people's blood pressure.,"Many people are pet enthusiasts and pets have a lot of abilities to help people psychologically and physically, but this adds another reason that isn't geared towards mental health.",NYT after scrolling for a while,https://www.nytimes.com/2026/03/03/well/pet-longevity-health-benefits.html?smid=nytcore-android-share,2026-03-04T04:49:52.000Z,New York Times,['Health'],Good News,['Curious']
"Tenz and Kyedae, a famous gaming couple mutually broke up after 6-7 years, their breakup gained a lot of speculation and Kyedae received backlash because of their history together.","Despite the couple claiming that the break up was mutual, the internet has primarily blamed it on Kyedae, claiming that she is a leech and used Tenz and that she probably cheated on him. This shows the hidden misogyny and parasocialism in the community and that people assume the worst from the female and the best from the male in the relationship.",Instagram post,https://www.hercampus.com/school/sjsu/the-tenz-and-kyedae-break-up-misogyny-and-parasocialism-represented-in-the-gaming-community/,2026-03-03T02:09:42.000Z,Her Campus,['Technology'],Bad News,['Curious']
"Brady Tkachuk had joked on a phone call with Donald Trump about the US women's hockey team, he addressed the backlash he got from this by saying he was caught off guard, and that he respects the women's team and also mentioned that the offensive remarks are AI generated.",Any topic and politics have become intertwined and this phone call raised concerns about respect towards women athletes and shows how AI can change people's opinions.,NYT,https://www.nytimes.com/athletic/7070904/2026/02/26/tkachuk-sanderson-senators-trump-usa-olympics/?source=athletic_user_shared_article_copylink&smid=url-share-ta,2026-03-01T04:51:10.000Z,New York Times,"['Politics', 'Technology', 'Sports']",Bad News,['Concerned']
Four stories about people navigating social environments and figuring out how to respond in certain situations because communicating what they're thinking is difficult.,Everyone struggles to share how they're feeling and fail to realize other people's perspectives. This column helps acknowledge that and help people answer their social questions.,NYT,https://www.nytimes.com/2026/02/25/style/conversation-monopolizers-strategies.html?smid=nytcore-android-share,2026-02-28T04:38:50.000Z,New York Times,['Culture'],Good News,"['Skeptical', 'Reflective']"
"The housing market crash is starting to have more sellers than buyers, many people in the South are trying to sell their homes but are struggling to find buyers even with cash incentives.","As we are all getting older, buying a home will be in the far future but I have been worried considering how expensive homes are. If they get cheaper, this will be beneficial for me.",NYT,https://www.nytimes.com/2026/02/25/realestate/buyers-market-mortage-rates.html,2026-02-25T23:05:31.000Z,New York Times,"['Culture', 'Business', 'Social Issues', 'Personal Finance']",Good News,"['Hopeful', 'Reflective']"
Joseph Lynskey was pushed in front of an oncoming 18th St subway in NY 2 years ago and he is just starting to take the subway again.,"I can't imagine having to go through that, everyday I subconsciously think about the things that can go wrong and the uncertainties I have and it seems so traumatizing and scary to be in this situation where you have no control.",NYT,https://www.nytimes.com/2026/02/24/nyregion/joseph-lynskey-nyc-subway-shove-lawsuit.html?smid=nytcore-android-share,2026-02-25T04:22:51.000Z,New York Times,"['Culture', 'Local']",Good News,"['Concerned', 'Angry']"
Deliveristas in NY continued to work during Feb 22-23 snow blizzard eventhough some food apps paused service due to the risks.,This is one of the worst storms in a while and I can't imagine having to ride a bike or drive a car through it.,NYT,https://www.nytimes.com/2026/02/23/nyregion/nyc-winter-storm-deliverista.html?smid=nytcore-android-share,2026-02-24T04:21:26.000Z,New York Times,"['Politics', 'Technology', 'Culture', 'Environment']",Good News,"['Concerned', 'Grateful']"
"Takahiro Anno's political party, Team Mirai, won 11 seats in the House of Representatives in Tokyo on Feb 8th by campaigning for AI policies like government chatbots and self driving busses to modernize government and address labor shortages.","While AI is decreasing jobs in many fields, it will be interesting how it will take the jobs people don't want.",NYT,https://www.nytimes.com/2026/02/22/world/asia/japan-ai-politics-election.html?smid=nytcore-android-share,2026-02-23T03:45:35.000Z,New York Times,"['Politics', 'Technology', 'Culture', 'International']",Bad News,['Curious']
"Trump's ICE detention centers could be considered a ""concentration camp"" and these camps exist so they can do things that they wouldn't do out in the open.","I recently heard from someone that their friend got released from a Texas holding after 4 months. For some days he only ate a cookie because the food was inedible, the treatment there is so awful and it feels like there's not much we can do.",NYT,https://www.nytimes.com/2026/02/21/opinion/concentration-camp-andrea-pitzer.html?smid=nytcore-android-share,2026-02-22T04:58:45.000Z,New York Times,"['Politics', 'Culture']",Bad News,['Sad']
NYU Langone has stopped providing families with gender related care to adolescents February 18th because of defending threats from the Trump Administration.,"This is heart breaking for families that have been receiving care for many years, and now they have to frantically find a new provider, praying that they don't change policies in the future too.",NYT,https://www.nytimes.com/2026/02/19/nyregion/transgender-adolescents-nyu-langone-program-eliminated.html?smid=nytcore-android-share,2026-02-21T04:19:35.000Z,New York Times,"['Politics', 'Culture']",Bad News,['Hopeful']
"Draco Malfoy has become the icon of the Lunar New Year 2026 in China because Malfoy transliterates to ""ma er fu"" and horse in Mandarin is 马 (ma).","It's funny how languages become transliterated, this happens a lot in Chinese and it's always fun to see the memes that come out of it.",TikTok,https://www.nytimes.com/2026/02/19/world/asia/lunar-new-year-china-felton-malfoy-harry-potter.html?smid=nytcore-android-share,2026-02-20T04:24:08.000Z,New York Times,['International'],Good News,['Amused']
Kevin Durant from NBA Houston Rockets has been accused for the second time to be anonymously badmouthing teammates and coaches on X.,"This story caught my eye and it made me think about freedom of speech, technically he's allowed to do these things, but whether theyre ethically or morally right is another question",NYT,https://www.nytimes.com/athletic/7054258/2026/02/18/kevin-durant-x-burner-accounts-rockets/?source=athletic_user_shared_article_copylink&smid=url-share-ta,2026-02-19T04:22:28.000Z,New York Times,"['Technology', 'Sports']",Bad News,['Skeptical']
Man kills his wife and children at a highschool hockey game and suicides afterwards.,"Mass shootings happen every day and these people are just allowed to kill other people, this shouldn't be okay.",Samsung notification,https://www.samsung-news.com/articles/v2i2uZb8vG0ntmrqFAu1cQ-en-US?section=top_news&vc=760016000&action=news&tab=foryou&landing=news_detail&url=https%3A%2F%2Fwww.samsung-news.com%2Farticles%2Fv2i2uZb8vG0ntmrqFAu1cQ-en-US%3Fsection%3Dtop_news%26vc%3D760016000&id=v2i2uZb8vG0ntmrqFAu1cQ-en-US&pub_id=newsweek.com&pub=Newsweek&pub_logo=https%3A%2F%2Fnews-image.samsung-news.com%2Flogo%2Fcustom%2FNewsweek%2Fnewsweek-logo.png&theme_color=%23f7210f&referrer=share-news&title=Rhode%20Island%20hockey%20shooting%3A%20Video%20shows%20frantic%20moments%20inside%20arena&rss_url=https%3A%2F%2Fwww.newsweek.com%2Feyewitness-account-video-rhode-island-hockey-arena-shooting-11532374%3Futm_source%3Dsnews%26utm_medium%3Dreferral&img=https%3A%2F%2Fimage.samsung-news.com%2Fapi%2Fv1%2Fimage%2Fstatic%2Fw%3D700%2Ch%3D394%2Cface%3Dfalse%2Cstyle%3DLANDSCAPE%2Fhttps%3A%2F%2Fassets.newsweek.com%2Fwp-content%2Fuploads%2F2026%2F02%2FAP26047751205313.jpg&pub_time=2026-02-17T03%3A00%3A48Z&ed=en_US&section_type=headlines&category_id=news,2026-02-17T03:53:10.000Z,Samsung News,"['Crime', 'Sports']",Bad News,['Angry']
"Lancome L'Absolu Rogue, MACximal, Dior Addict Hydrating Shine, Revlon Super Lustrous, and Guerlain Rougue G Ultra Care are some of the best lipsticks on the market.",There's so many options and different brands that it can be confusing for buyers.,NYT,https://www.nytimes.com/card/2026/02/13/smarter-living/wirecutter/?smid=nytcore-android-share,2026-02-16T04:12:32.000Z,New York Times,"['Beauty', 'Business']",Good News,['Curious']
"People who drink to feel ""fun"" in society often drink more than people who drink solo, it's not good to rely on alcohol and lots of people are able to socialize without drinking alcohol.","I often feel like drinking benefits me by making me more sociable; although, I understand the side affects long term and short term, I'm not sure if I want to avoid alcohol.",My mom,https://www.nytimes.com/2026/02/10/health/social-drinking-risks-alcohol.html?smid=nytcore-android-share,2026-02-15T04:11:15.000Z,New York Times,"['Culture', 'Lifestyle']",Good News,['Reflective']
"Repeteaded use of earbuds and earplugs disrupts your ears natural process of shedding and cleaning itself, so it's best to use minimally.","My boyfriend has waxy ears and I wondered why, maybe this contributes to it.",NYT,https://www.nytimes.com/wirecutter/reviews/advice-wearing-earplugs-every-night/,2026-02-14T04:30:47.000Z,New York Times,['Lifestyle'],Bad News,"['Curious', 'Frustrated']"
"Dish soap can remove stains, cut grime and grease on appliances (fridges), and clean jewlery. It's a great multipurpose cleaner because it's safe on skin.","Living in NY, it takes up a lot of space to have many types of cleaners, having one that can do everything is cheaper and efficient.",NYT,https://www.nytimes.com/video/smarter-living/wirecutter/100000010669048/some-of-our-favorite-dish-soap-hacks.html?smid=nytcore-android-share,2026-02-13T02:32:15.000Z,New York Times,['Lifestyle'],Good News,['Curious']
George Howell in MA has a specialty coffee thats $24. It is supposed to taste floral and fruit and the price helps give back and recognize farmers.,I'm from Massachusetts and I drink coffee. I tried a floral fruit coffee in London and it tasted like a gross gummy bear. I wonder if this is better.,Looking up Boston News,https://www.nbcboston.com/news/local/this-specialty-coffee-offers-a-taste-of-the-world-in-boston-for-24-a-cup/3896563/,2026-02-12T03:20:12.000Z,NBC Boston,"['Culture', 'Business', 'Personal Finance']",Good News,"['Curious', 'Hopeful']"
Students from Pine Hill in Westwood MA wrote letters to football player Drake Maye to encourage him during the Superbowl.,"I'm from this hometown and went to this elementary school, although it was called Paul Hanlon school at the time this is the new renovation ver.",Looked up local news,https://share.google/42mPiqz0UwPDkNoHs,2026-02-10T19:27:02.000Z,WCVB,"['Sports', 'Education', 'Local']",Good News,['Surprised']
This article tells Ilia Malinin's story of how he became a figure skater and his amazing ability at quadruple axel.,Ilia Malinin won gold at the winter Olympics and hes the first and only to perform a 4A in competition,NYT,https://www.nytimes.com/2026/02/09/world/olympics/ilia-malinin-ice-skating-winter-olympics.html?smid=nytcore-android-share,2026-02-10T03:35:19.000Z,New York Times,"['Culture', 'Sports']",Good News,['Curious']
Patriots lost the Super Bowl to the Seahawks due to their really strong defense and Kenneth Walker's (Seahawks RB) ability to break away with the ball.,I'm from Massachusetts and I watched the Super Bowl also Drake Maye lives in my hometown.,NYT,https://www.nytimes.com/athletic/7030353/2026/02/08/super-bowl-2026-winner-score-results-seahawks-patriots/?source=athletic_user_shared_article_copylink&smid=url-share-ta,2026-02-09T04:08:50.000Z,New York Times,['Sports'],Bad News,['Sad']
"Players sweep the ice in curling to create friction that melts the ice, allowing the curling stone to curl into the path.","I always thought curling was funny to watch because it seemed like they weren't sweeping anything, but its because the ice is lightly listed beforehand, creating pebbles on the ice.",NYT,https://www.nytimes.com/athletic/7027221/2026/02/07/why-sweep-ice-curling-olympics/?source=athletic_user_shared_article_copylink&smid=url-share-ta,2026-02-08T04:43:07.000Z,New York Times,['Sports'],Good News,['Amused']
MAC x Depop collab was poorly executed and people were being really ungrateful and disrespectful in order to the lipsticks they wanted.,I went there today and the staff said the event was shut down eventhough it was supposed to end at 6PM,Instagram Reels,https://www.instagram.com/reel/DUbahBwkVzf/?igsh=NXVxdGh4N2ZuOTdx,2026-02-07T04:24:45.000Z,Instagram,['Technology'],Bad News,"['Concerned', 'Frustrated']"
Homeless people are freezing in the cold and it's disputed whether it's because of the new Mamdani system or not.,We live in NY and Mamdani is supposed to protect these people.,NYT,https://www.nytimes.com/2026/01/27/well/food-diet-nutrition-cancer-risk.html?smid=nytcore-android-share,2026-02-05T13:45:47.000Z,New York Times,['Politics'],Bad News,"['Concerned', 'Frustrated']"
"The snow is really bad in Japan (3 feet), lots of people have died or got injured and homes are getting buried.","Yesterday I posted something about a Japanese Pizza popup in NYC and the owner's flight got delayed due to the storm, I thought they were referring to the storm in NYC. I didn't know there was also a storm there.",NYT,https://www.nytimes.com/video/world/asia/100000010686677/japan-snow-deaths.html,2026-02-03T20:02:11.000Z,New York Times,"['Local', 'Environment', 'International']",Bad News,['Curious']
"Tokyo Pizzeria is coming to NY for a 2 day popup, the weather made him concerned tho because it delayed his flight 1+days and the cold weather impacts the yeast in the pizza dough. He uses a special flour thats a combo of other flours, so altho hes shared his recipes before hes never shared his flour mix.","I was js in Tokyo and I wanted to try the famous pizzas lmao, lowk I had pizza in Italy and it was js ok, I heard some from Tokyo are really good though.",NYT,https://www.nytimes.com/2026/01/29/dining/tokyo-pizza-studio-tamaki-nyc-opening.html?smid=nytcore-android-share,2026-02-03T04:54:00.000Z,New York Times,['International'],Good News,['Amused']
Trump appears thousands of times in the Epstein files but he's not going to be convicted of anything because they're from anonymous tips and the info is unconfirmed...but there's other parts that are saying Melania might have emailed Ghislaine Maxwell.,The Epstein files and our president. I was confused before because like how can they have so much info but he's not convicted of anything how is he allowed to be president?,NYT,https://www.nytimes.com/2026/02/01/us/trump-epstein-files.html?smid=nytcore-android-share,2026-02-02T03:52:19.000Z,New York Times,"['Politics', 'Technology', 'Culture']",Bad News,"['Concerned', 'Frustrated']"
Billionaires and other wealthy/influential people lied about their involvement with Epstein (saying they denied invitations or their relationship was steictly business) and it is revealed on what they actually did with Epstein.,"The Epstein files were released and all the influential billionaires are involved, why and how are they not in jail...",NYT,https://www.nytimes.com/2026/01/31/us/epstein-powerful-men.html?smid=nytcore-android-share,2026-02-01T04:43:30.000Z,New York Times,"['Technology', 'Business']",Bad News,"['Concerned', 'Frustrated']"
"People in MN are buying red yarn and ""Melt the ICE"" hat pattern to show their alignment against ICE, the community is running out of red yarn and it js shows how everyone is committing together. The history of the pattern is that it was worn by Norwegians ""fighting Nazi occupiers"" so it had great meaning behind it too.","ICE is heavily prevalent and we can feel helpless on what we can do to help, this is something everyone is capable of doing to show their solidarity.",NYT,https://www.nytimes.com/2026/01/30/style/minnesota-ice-red-hats-knit.html,2026-01-30T20:19:05.000Z,New York Times,['Politics'],Good News,['Curious']
"This article gives tips on how to restore your sweaters that have pilled, using a sweater shaver is the easiest thing and best for synthetic sweaters (remember to use gently though), but if you have cashmere, merino, or other natural fiber sweaters then they recommend a sweater comb.","Putting on a sweater today, I noticed it was super pilled and I have other sweaters that pill really heavily and leave fibers on shirts underneath etc. This is really annoying to me and I wanted to find a solution to minimize that. I don't know if this is the best way, and I'm afraid to use a shaver on my sweater, but so far this seems like the best method.",NYT,https://www.nytimes.com/wirecutter/reviews/fabric-shavers-101/,2026-01-29T18:49:43.000Z,New York Times,"['Technology', 'Culture']",Good News,"['Concerned', 'Frustrated']"
"Be aware of what you eat and try to follow a more plant based diet, avoiding smoked or grilled red meat, and eat less ultraprocessed foods--artificially sweetened foods.","As we all grow older, we have to take care of our bodies to give it the best opportunities when we are older, not js in terms of cancer but for other health benefits.",New York Times,https://www.nytimes.com/2026/01/27/well/food-diet-nutrition-cancer-risk.html?smid=nytcore-android-share,2026-01-28T09:58:33.000Z,New York Times,"['Health', 'Culture']",Good News,['Curious']
"Trump said he wants an honest investigation about Alex Pretti's killing in Minneapolis, but also says that carrying a legal gun is not okay. This has caused Chris Madel to step down from running from governor because the Trump Administration crackdown on immigrants is acting ""lawlessly"" and he doesn't want to support that.","I feel like I don't consume the news enough, and when I do consume it, it is in bits and pieces, so this story matters to me because I was able to fill in the gaps of things that I already knew and learn a lot of new things about our administration.",NYT,https://www.nytimes.com/live/2026/01/27/us/minneapolis-shooting-ice-minnesota,2026-01-27T20:20:26.000Z,New York Times,"['Politics', 'Social Issues']",Bad News,"['Concerned', 'Frustrated']"